sample	Basal	Her2	LumA	LumB	Normal	Call	Confidence	ROR-S (Subtype Only)	ROR-S Group (Subtype Only)	Proliferation Score	ROR-P (Subtype + Proliferation)	ROR-P Group (Subtype + Proliferation)	ER	Her2_1
GBX.DISC.PCA19	0.0200240096038415	-0.0625690276110444	-0.0290516206482593	0.0213685474189676	-0.0263625450180072	LumB	0.12	41.9195624945696	med	0.445959733692048	58.8742518983358	high	-0.114338944482052	-0.279606949148912
GBX.DISC.PCA190	0.0748619447779112	0.137575030012005	-0.144201680672269	0.0488355342136855	0.0304921968787515	Basal	0.66	50.3593682226396	med	-0.156801072264211	37.9419300661954	med	1.37192475738523	-2.11300644573378
GBX.DISC.PCA191	0.131332533013205	-0.332917166866747	-0.0481632653061225	-0.25608643457383	0.277214885954382	Basal	0.95	34.6584803979945	med	0.255138747657761	47.663884089994	med	0.549845227482683	-1.08575221016089
GBX.DISC.PCA192	-0.046530612244898	-0.411380552220888	0.203073229291717	-0.222857142857143	0.265498199279712	LumA	0.94	22.7676594175553	low	-0.271168483329787	23.4646940123599	med	0.0991961323122595	-0.12993904984733
GBX.DISC.PCA193	0.1446818727491	-0.0588235294117647	-0.103097238895558	-0.126050420168067	-0.0245378151260504	Basal	0.68	43.196338905501	med	0.287817577876914	52.5661277329899	med	-1.06712254895577	0.83360748477342
GBX.DISC.PCA194	-0.267322929171669	-0.112316926770708	0.301032412965186	0.0910924369747899	-0.0362545018007203	LumA	0.97	27.2493498215663	med	-0.0887679709445551	33.9148156778777	med	0.328539229854381	1.03267144924269
GBX.DISC.PCA195	-0.0899399759903962	0.397839135654262	-0.176662665066026	0.170420168067227	-0.288739495798319	LumB	1	56.7390698468752	high	0.101121724870239	51.4207142231573	med	0.50964573604179	0.0164511378458043
GBX.DISC.PCA196	0.0398079231692677	0.0512364945978391	-0.117887154861945	0.0155102040816327	0.0612244897959184	Basal	0.33	47.2713319967234	med	0.115923743652903	47.6157647113963	med	-1.43715419391203	0.35384805651251
GBX.DISC.PCA197	-0.0570948379351741	0.0481632653061225	-0.110492196878752	0.0392316926770708	-0.0159903961584634	LumB	0.26	46.8363927637314	med	0.0504756261896837	45.0498121540444	med	1.22709619762414	-0.197797736115811
GBX.DISC.PCA198	0.296806722689076	-0.0906122448979592	-0.196926770708283	-0.243025210084034	0.12921968787515	Basal	0.96	45.4171711785891	med	0.48811539572462	60.6386384777108	high	-0.488724530957309	-1.74447232700334
GBX.DISC.PCA199	-0.27202881152461	0.093013205282112807	0.241008403361345	0.255894357743097	-0.162737094837935	LumB	0.93	35.4815631669515	med	-0.548778111189307	18.8965171629601	med	-0.160660555527605	1.07011749343869
GBX.DISC.PCA2	0.137094837935174	-0.265210084033613	0.163697478991597	-0.449411764705882	0.333493397358944	LumA	0.98	23.6649987653414	med	-0.269915790816522	23.8104516772799	med	-0.906211068590551	1.53667538010367
GBX.DISC.PCA20	0.0717887154861945	0.0324129651860744	-0.0204081632653061	0.0254981992797119	-0.117599039615846	Basal	0.38	43.2798129162065	med	-0.230581313880217	32.6262173225719	med	-0.616670247586983	0.95247519798572
GBX.DISC.PCA200	-0.099639855942377	0.166674669867947	-0.196350540216086	0.350684273709484	-0.266938775510204	LumB	0.99	57.1309600170044	high	0.503367130788002	66.8253765208157	high	-0.786046012537646	0.264608714095741
GBX.DISC.PCA201	-0.200768307322929	0.144393757503001	0.0853301320528211	0.0975270108043217	-0.0795678271308523	LumB	0.68	40.3934101551585	med	-0.209703981421106	33.6340381140459	med	0.550019148843208	0.913843770886678
GBX.DISC.PCA202	-0.0204081632653061	0.0837935174069628	0.0116686674669868	-8.16326530612245e-4	0.0928211284513805	LumA	0.48	41.8070253598475	med	0.031889944965874	42.9958195780373	med	-0.369705132617687	-0.28625846569597
GBX.DISC.PCA203	-0.298823529411765	0.115294117647059	0.218727490996399	0.063625450180072	-0.0489315726290516	LumA	0.87	33.3842359561613	med	-0.237207477768771	30.6223400589467	med	-0.717810713581743	1.5249668928921
